O1, STIM,
4358.46, 0, 
4358.97, 0, 
4354.36, 0, 
4352.82, 0, 
4353.33, 0, 
4354.36, 0, 
4354.87, 0, 
4354.87, 0, 
4353.85, 0, 
4352.82, 0, 
4354.87, 0, 
4355.9, 0, 
4355.38, 0, 
4354.87, 0, 
4356.41, 0, 
4354.36, 0, 
4354.87, 0, 
4355.38, 0, 
4351.79, 0, 
4353.33, 0, 
4356.41, 0, 
4352.31, 0, 
4351.28, 0, 
4355.9, 0, 
4354.87, 0, 
4351.28, 0, 
4355.38, 0, 
4356.92, 0, 
4352.82, 0, 
4352.82, 0, 
4357.44, 0, 
4357.44, 0, 
4355.9, 0, 
4355.38, 0, 
4354.87, 0, 
4356.92, 0, 
4357.44, 0, 
4355.38, 0, 
4352.82, 0, 
4352.82, 0, 
4352.82, 0, 
4350.77, 0, 
4351.79, 0, 
4355.9, 0, 
4357.95, 0, 
4355.38, 0, 
4354.36, 0, 
4357.44, 0, 
4356.92, 0, 
4352.31, 0, 
4353.33, 0, 
4356.92, 0, 
4357.95, 0, 
4357.44, 0, 
4354.36, 0, 
4354.87, 0, 
4358.46, 0, 
4356.41, 0, 
4354.36, 0, 
4356.92, 0, 
4358.97, 0, 
4357.44, 0, 
4354.87, 0, 
4354.87, 0, 
4356.41, 0, 
4357.44, 0, 
4356.41, 0, 
4355.38, 0, 
4355.38, 0, 
4353.85, 0, 
4354.36, 0, 
4358.46, 0, 
4356.41, 0, 
4350.77, 0, 
4351.79, 0, 
4355.9, 0, 
4355.38, 0, 
4353.85, 0, 
4355.38, 0, 
4358.46, 0, 
4355.9, 0, 
4349.74, 0, 
4350.77, 0, 
4355.38, 0, 
4354.36, 0, 
4350.77, 0, 
4352.82, 0, 
4354.36, 0, 
4354.36, 0, 
4353.85, 0, 
4353.33, 0, 
4354.87, 0, 
4355.9, 0, 
4353.33, 0, 
4353.85, 0, 
4356.92, 0, 
4357.44, 0, 
4355.9, 0, 
4355.38, 0, 
4355.9, 0, 
4355.38, 0, 
4354.36, 0, 
4351.79, 0, 
4352.82, 0, 
4358.46, 0, 
4359.49, 0, 
4356.41, 0, 
4354.87, 0, 
4353.33, 0, 
4349.74, 0, 
4349.74, 0, 
4354.87, 0, 
4354.87, 0, 
4351.79, 0, 
4354.36, 0, 
4356.92, 0, 
4357.95, 0, 
4356.41, 0, 
4354.87, 0, 
4351.28, 0, 
4349.74, 0, 
4351.28, 0, 
4352.82, 0, 
4352.82, 0, 
4352.82, 1, 
4351.28, 1, 
4351.79, 1, 
4355.38, 1, 
4354.36, 1, 
4351.79, 1, 
4352.82, 1, 
4353.33, 1, 
4351.28, 1, 
4349.74, 1, 
4351.79, 1, 
4354.87, 1, 
4355.38, 1, 
4353.33, 1, 
4351.28, 1, 
4352.31, 1, 
4354.87, 1, 
4355.38, 1, 
4353.33, 1, 
4353.85, 1, 
4353.33, 1, 
4351.28, 1, 
4350.77, 1, 
4353.85, 1, 
4354.36, 1, 
4352.82, 1, 
4352.82, 1, 
4352.82, 1, 
4352.31, 1, 
4350.77, 1, 
4352.31, 1, 
4354.36, 1, 
4352.31, 1, 
4352.31, 1, 
4354.36, 1, 
4355.38, 1, 
4354.36, 1, 
4350.77, 1, 
4349.23, 1, 
4352.31, 1, 
4354.87, 1, 
4353.33, 1, 
4351.28, 1, 
4353.33, 1, 
4354.87, 1, 
4352.31, 1, 
4351.79, 1, 
4353.85, 1, 
4353.85, 1, 
4352.31, 1, 
4349.74, 1, 
4349.74, 1, 
4353.85, 1, 
4353.85, 1, 
4349.23, 1, 
4348.72, 1, 
4353.33, 1, 
4355.38, 1, 
4352.31, 1, 
4348.72, 1, 
4350.77, 1, 
4355.38, 1, 
4354.36, 1, 
4350.77, 1, 
4351.79, 1, 
4353.33, 1, 
4353.33, 1, 
4356.41, 1, 
4357.44, 1, 
4355.9, 1, 
4353.85, 1, 
4354.87, 1, 
4358.46, 1, 
4357.44, 1, 
4354.36, 1, 
4355.38, 1, 
4355.9, 1, 
4355.38, 1, 
4355.9, 1, 
4355.9, 1, 
4355.38, 1, 
4356.92, 1, 
4353.85, 1, 
4349.74, 1, 
4354.87, 1, 
4358.97, 1, 
4353.33, 1, 
4352.82, 1, 
4356.41, 1, 
4354.87, 1, 
4354.87, 1, 
4356.41, 1, 
