O1, O2, STIM,
4357.44, 4356.92, 0, 
4532.82, 4532.31, 0, 
4358.97, 4354.87, 0, 
4530.77, 4531.28, 0, 
4350.26, 4353.33, 0, 
4534.36, 4533.85, 0, 
4354.36, 4353.85, 0, 
4531.79, 4532.31, 0, 
4357.95, 4358.97, 0, 
4533.33, 4530.77, 0, 
4353.85, 4353.33, 0, 
4529.23, 4533.85, 0, 
4356.92, 4355.9, 0, 
4536.92, 4532.82, 0, 
4355.38, 4356.92, 0, 
4528.72, 4532.31, 0, 
4355.9, 4354.87, 0, 
4533.33, 4528.72, 0, 
4354.36, 4354.87, 0, 
4529.23, 4532.31, 0, 
4355.38, 4355.38, 0, 
4531.79, 4531.28, 0, 
4355.9, 4355.38, 0, 
4532.82, 4531.28, 0, 
4353.33, 4352.82, 0, 
4531.28, 4534.87, 0, 
4355.9, 4357.95, 0, 
4532.31, 4529.74, 0, 
4356.41, 4357.44, 0, 
4531.28, 4531.28, 0, 
4357.44, 4354.36, 0, 
4531.28, 4532.82, 0, 
4353.85, 4354.36, 0, 
4532.82, 4531.28, 0, 
4355.38, 4357.95, 0, 
4531.28, 4531.79, 0, 
4356.41, 4355.38, 0, 
4532.82, 4530.77, 0, 
4357.95, 4356.92, 0, 
4528.72, 4530.77, 0, 
4356.92, 4357.44, 0, 
4533.85, 4532.31, 0, 
4353.85, 4351.79, 0, 
4530.77, 4532.82, 0, 
4355.9, 4358.46, 0, 
4532.31, 4531.79, 0, 
4357.44, 4355.38, 0, 
4532.31, 4530.77, 0, 
4355.9, 4355.38, 0, 
4530.26, 4530.26, 0, 
4354.87, 4355.38, 0, 
4528.21, 4528.72, 0, 
4355.38, 4355.38, 0, 
4530.77, 4531.28, 0, 
4356.92, 4358.97, 0, 
4531.28, 4531.28, 0, 
4358.46, 4356.41, 0, 
4531.79, 4531.28, 0, 
4357.44, 4355.9, 0, 
4529.23, 4528.72, 0, 
4353.85, 4356.41, 0, 
4533.33, 4534.36, 0, 
4356.92, 4353.33, 0, 
4529.23, 4529.23, 0, 
4353.85, 4356.41, 0, 
4531.79, 4529.74, 0, 
4356.41, 4357.44, 0, 
4529.74, 4532.31, 0, 
4358.97, 4355.9, 0, 
4533.85, 4532.31, 0, 
4353.85, 4355.38, 0, 
4531.28, 4530.77, 0, 
4354.87, 4355.38, 0, 
4531.79, 4532.82, 0, 
4356.41, 4356.92, 0, 
4530.77, 4530.77, 0, 
4357.95, 4356.92, 0, 
4532.31, 4531.28, 0, 
4354.36, 4355.38, 0, 
4530.26, 4531.79, 0, 
4356.41, 4354.87, 0, 
4532.82, 4532.82, 0, 
4354.87, 4354.36, 0, 
4531.28, 4531.28, 0, 
4351.28, 4353.85, 0, 
4533.33, 4532.82, 0, 
4356.92, 4354.87, 0, 
4528.72, 4529.74, 0, 
4355.38, 4358.97, 0, 
4534.36, 4533.85, 0, 
4356.41, 4354.87, 0, 
4529.74, 4528.72, 0, 
4355.9, 4354.36, 0, 
4530.26, 4531.28, 0, 
4354.87, 4356.41, 0, 
4533.33, 4531.28, 0, 
4355.9, 4357.44, 0, 
4527.18, 4529.74, 0, 
4357.44, 4355.9, 0, 
4532.82, 4530.77, 0, 
4355.9, 4356.41, 0, 
4528.72, 4531.28, 0, 
4354.87, 4355.9, 0, 
4532.82, 4530.26, 0, 
4358.46, 4354.87, 0, 
4530.77, 4532.31, 0, 
4352.82, 4356.41, 0, 
4530.77, 4528.21, 0, 
4357.95, 4356.41, 0, 
4528.72, 4529.74, 0, 
4354.87, 4355.9, 0, 
4529.74, 4531.79, 0, 
4358.46, 4357.95, 0, 
4533.33, 4530.77, 0, 
